,,,,,,,,,,,,,,,DepartmentType,COUNTA de EmpID
,,,,,,,,,,,,,,,Admin Offices,80
,,,,,,,,,,,,,,,Executive Office,24
,,,,,,,,,,,,,,,IT/IS,430
,,,,,,,,,,,,,,,Production,2020
,,,,,,,,,,,,,,,Sales,331
,,,,,,,,,,,,,,,Software Engineering,115
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,GenderCode,COUNT de EmpID
,,,,,,,,,,,,,,,Female,1682
,,,,,,,,,,,,,,,Male,1318
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,TerminationType,COUNTA de EmpID
,,,,,,,,,,,,,,,Involuntary,388
,,,,,,,,,,,,,,,Resignation,380
,,,,,,,,,,,,,,,Retirement,377
,,,,,,,,,,,,,,,Unk,1467
,,,,,,,,,,,,,,,Voluntary,388
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,COUNTA de EmpID,
,,,,,,,,,,,,,,,3000,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PayZone,COUNT de EmpID
,,,,,,,,,,,,,,,Zone A,1062
,,,,,,,,,,,,,,,Zone B,985
,,,,,,,,,,,,,,,Zone C,953
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,EmployeeClassificationType,COUNT de EmpID
,,,,,,,,,,,,,,,Full-Time,1013
,,,,,,,,,,,,,,,Part-Time,954
,,,,,,,,,,,,,,,Temporary,1033
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,DepartmentType,COUNTA de EmpID
,,,,,,,,,,,,,,,Admin Offices,80
,,,,,,,,,,,,,,,Executive Office,24
,,,,,,,,,,,,,,,IT/IS,430
,,,,,,,,,,,,,,,Production,2020
,,,,,,,,,,,,,,,Sales,331
,,,,,,,,,,,,,,,Software Engineering,115
